149|09:58:01|27/4/2015|32.7
150|09:59:01|27/4/2015|32.7
151|10:00:01|27/4/2015|32.8
152|10:01:01|27/4/2015|32.9
153|10:02:01|27/4/2015|33
154|10:03:01|27/4/2015|33
155|10:04:01|27/4/2015|33.1
156|10:05:01|27/4/2015|33.2
157|10:06:01|27/4/2015|33.3
158|10:07:01|27/4/2015|33.4
159|10:08:01|27/4/2015|33.4
160|10:09:01|27/4/2015|33.5
161|10:10:01|27/4/2015|33.5
162|10:11:01|27/4/2015|33.5
163|10:12:01|27/4/2015|33.6
164|10:13:01|27/4/2015|33.7
165|10:14:01|27/4/2015|33.7
166|10:15:01|27/4/2015|33.8
167|10:16:01|27/4/2015|33.8
168|10:17:01|27/4/2015|33.8
169|10:18:01|27/4/2015|33.9
170|10:19:01|27/4/2015|33.9
171|10:20:01|27/4/2015|34
172|10:21:01|27/4/2015|34
173|10:22:01|27/4/2015|34
174|10:23:01|27/4/2015|34
175|10:24:01|27/4/2015|34.1
176|10:25:01|27/4/2015|34.2
177|10:26:01|27/4/2015|34.2
178|10:27:01|27/4/2015|34.2
179|10:28:01|27/4/2015|34.3
180|10:29:01|27/4/2015|34.3
181|10:30:01|27/4/2015|34.3
182|10:31:01|27/4/2015|34.4
183|10:32:01|27/4/2015|34.4
184|10:33:01|27/4/2015|34.4
185|10:34:01|27/4/2015|34.4
186|10:35:01|27/4/2015|34.5
187|10:36:01|27/4/2015|34.5
188|10:37:01|27/4/2015|34.5
189|10:38:01|27/4/2015|34.5
190|10:39:01|27/4/2015|34.6
191|10:40:01|27/4/2015|34.6
192|10:41:01|27/4/2015|34.6
193|10:42:01|27/4/2015|34.7
194|10:43:01|27/4/2015|34.8
195|10:44:01|27/4/2015|34.8
196|10:45:01|27/4/2015|34.9
197|10:46:01|27/4/2015|34.9
198|10:47:01|27/4/2015|35
199|10:48:01|27/4/2015|35
200|10:49:01|27/4/2015|35.1
201|10:50:01|27/4/2015|35.1
202|10:51:01|27/4/2015|35.1
203|10:52:01|27/4/2015|35.2
204|10:53:01|27/4/2015|35.2
205|10:54:01|27/4/2015|35.2
206|10:55:01|27/4/2015|35.2
207|10:56:01|27/4/2015|35.4
208|10:57:01|27/4/2015|35.4
209|10:58:01|27/4/2015|35.5
210|10:59:01|27/4/2015|35.5
211|11:00:01|27/4/2015|35.6
212|11:01:01|27/4/2015|35.6
213|11:02:01|27/4/2015|35.7
214|11:03:01|27/4/2015|35.7
215|11:04:01|27/4/2015|35.8
216|11:05:01|27/4/2015|36
217|11:06:01|27/4/2015|36
218|11:07:01|27/4/2015|36.1
219|11:08:01|27/4/2015|36.2
220|11:09:01|27/4/2015|36.3
221|11:10:01|27/4/2015|36.3
