NomeDoMunicipio, SituacaoUrbana, SituacaoRural, DensidadeMoradorPorComodo[0.0-0.5], DensidadeMoradorPorComodo[0.5-1.0], DensidadeMoradorPorComodo[1.0-2.0], DensidadeMoradorPorComodo[2.0-+], DensidadeMoradorPorDormitorio[1], DensidadeMoradorPorDormitorio[1-2], DensidadeMoradorPorDormitorio[2-3], DensidadeMoradorPorDormitorio[3+], MoradiaAdequada, MoradiaSemiAdequada, MoradiaInadequada
Boituva,13913,830,6479,6768,1402,94,4437,7177,2125,1003,9802,4905,36
BomJesusdosPerdões,5400,720,2609,2844,620,47,1832,2823,979,487,4037,2083,0
BomSucessodeItararé,666,318,291,517,144,32,224,504,169,88,476,494,14
Borá,187,52,113,117,9,0,80,133,25,1,166,71,2
Boracéia,1134,123,574,583,99,1,398,666,134,59,954,289,14
Borborema,4314,461,2886,1730,155,4,1900,2388,379,109,3762,1005,8
Borebi,611,88,316,323,55,6,250,344,79,27,505,186,8
Botucatu,39653,1391,23536,15112,2253,143,16657,19127,3872,1388,33994,6962,88
BragançaPaulista,43413,1240,21574,19346,3525,207,15590,21870,4957,2236,31809,12778,67
Braúna,1393,193,860,656,71,0,639,769,148,30,1194,383,9
BrejoAlegre,686,130,380,380,56,0,209,485,101,20,574,240,1
Brodowski,6235,144,3416,2566,398,0,2342,3229,644,165,5424,955,0
Brotas,5922,821,3391,2791,549,11,2335,3541,616,250,5355,1360,28
Buri,4451,1056,2329,2492,642,43,1592,2720,763,431,3245,2116,146
Buritama,4878,317,3032,1932,213,18,1817,2798,476,104,4201,966,28
Buritizal,1127,251,843,506,25,4,648,649,67,14,1046,327,5
CabráliaPaulista,1202,178,727,566,81,5,542,674,132,33,1066,281,33
Cabreúva,10191,1719,3877,6134,1830,69,2686,6066,2025,1133,7098,4758,54
Caçapava,21344,3489,11274,11085,2358,116,7249,13014,3308,1262,17552,7259,22
CachoeiraPaulista,7418,1645,4489,3792,755,26,3403,4042,1130,489,6586,2440,37
Caconde,3896,1796,3018,2314,354,5,2302,2644,544,202,3104,2516,72
Cafelândia,4668,683,2957,2116,261,17,2054,2633,531,133,3961,1335,55
Caiabu,1135,254,866,483,39,0,619,662,86,21,889,487,12
Caieiras,24822,578,9093,12700,3233,374,6259,12275,4187,2679,16865,8535,0
Caiuá,668,951,891,655,72,2,651,796,149,23,664,895,60
Cajamar,18887,381,5965,9801,3157,345,4629,8900,3476,2264,10526,8710,32
Cajati,6202,2247,3654,3873,844,78,2679,3994,1212,563,4327,4091,31
Cajobi,2911,196,1692,1264,146,6,1172,1599,230,106,2544,557,6
Cajuru,6416,803,3807,2880,511,20,2403,3631,905,280,5180,1974,65
CampinadoMonteAlegre,1541,265,902,791,104,10,731,810,216,49,1232,574,0
Campinas,342935,5251,194944,130953,20925,1364,136720,163058,35266,13143,278322,69743,121
CampoLimpoPaulista,21931,0,8495,10633,2589,214,5874,10801,3608,1648,12859,9072,0
CamposdoJordão,14233,70,5983,6928,1351,42,4738,6661,2070,835,9315,4969,20
CamposNovosPaulista,1172,322,786,622,80,7,632,701,130,31,993,483,18
Cananéia,3180,499,1715,1460,448,55,1322,1565,465,328,2209,1414,56
Canas,1127,78,434,615,137,19,292,651,156,105,799,401,5
CândidoMota,9010,566,5075,3917,564,20,3609,4933,802,232,7976,1592,9
CândidoRodrigues,717,152,501,343,22,2,315,475,67,13,659,200,9
Canitar,1146,72,450,626,137,5,316,604,220,78,746,472,0
CapãoBonito,11064,2545,5741,6250,1526,92,4171,6573,1952,913,8717,4757,136
CapeladoAlto,4281,958,2125,2610,472,32,1407,2728,864,240,2558,2661,21
Capivari,13339,645,6085,6557,1243,99,4087,7420,1760,717,10116,3839,30
Caraguatatuba,30683,1264,14405,13710,3607,225,10921,13460,5124,2443,21522,10380,45
Carapicuíba,108617,0,35161,54692,16809,1955,25433,50340,20345,12499,68290,40298,29
Cardoso,3771,365,2531,1459,146,0,2065,1740,277,53,3114,1016,7
