NomeDoMunicipio, SituacaoUrbana, SituacaoRural, DensidadeMoradorPorComodo[0.0-0.5], DensidadeMoradorPorComodo[0.5-1.0], DensidadeMoradorPorComodo[1.0-2.0], DensidadeMoradorPorComodo[2.0-+], DensidadeMoradorPorDormitorio[1], DensidadeMoradorPorDormitorio[1-2], DensidadeMoradorPorDormitorio[2-3], DensidadeMoradorPorDormitorio[3+], MoradiaAdequada, MoradiaSemiAdequada, MoradiaInadequada
Lucianópolis,568,141,370,314,22,3,254,386,60,9,487,219,2
LuísAntônio,3105,105,1363,1586,256,5,992,1673,388,157,2582,623,5
Luiziânia,1424,135,791,661,107,0,622,733,131,73,1235,318,5
Lupércio,1193,136,688,558,78,5,488,668,121,51,1043,281,5
Lutécia,741,180,521,375,25,0,399,441,71,10,673,235,13
Macatuba,4499,146,2151,2097,379,19,1478,2375,601,191,3687,950,8
Macaubal,2395,293,1701,926,58,3,1228,1291,148,21,2186,488,15
Macedônia,965,283,781,425,38,3,607,542,88,11,848,392,8
Magda,964,175,777,333,29,0,282,784,62,11,893,239,7
Mairinque,10363,2560,5363,6114,1350,96,3553,6551,2004,815,7562,5290,70
Mairiporã,20611,2542,9500,10593,2866,193,6459,10472,4264,1957,9349,13397,407
Manduri,2523,380,1660,1089,145,9,1119,1425,277,82,2246,637,20
MarabáPaulista,742,484,673,516,37,0,551,580,88,7,623,572,31
Maracaí,3949,423,2399,1769,205,0,1641,2302,349,80,3301,1049,22
Marapoama,758,135,552,324,17,0,309,534,43,7,709,176,8
Mariápolis,1048,248,773,463,59,0,574,568,110,44,877,409,10
Marília,65758,2953,39785,26038,2759,129,27949,33504,5734,1524,59197,9371,144
Marinópolis,556,134,389,291,11,0,175,452,56,7,500,184,7
Martinópolis,6699,827,4110,3064,353,0,2846,3786,696,197,5715,1811,0
Matão,23297,413,11721,10336,1584,69,8081,12409,2420,800,19947,3763,0
Mauá,125369,0,44881,63162,16147,1179,29054,61519,22923,11873,83670,41687,12
Mendonça,1283,272,939,564,50,2,546,899,85,25,1189,357,10
Meridiano,889,373,747,481,30,3,442,709,80,31,866,381,15
Mesópolis,506,142,389,235,24,0,305,281,53,8,440,205,3
Miguelópolis,6097,365,3381,2664,388,30,2418,3156,672,216,4745,1696,21
MineirosdoTietê,3495,176,1790,1618,242,22,1295,1826,415,135,2905,753,13
MiraEstrela,720,316,699,303,31,3,592,388,39,17,760,273,3
Miracatu,3232,2977,2539,2739,855,76,2076,2498,953,682,1991,3976,241
Mirandópolis,7225,952,4991,2971,206,9,3512,3990,542,133,6098,2073,6
MirantedoParanapanema,3354,2133,3047,2205,222,13,2234,2658,480,114,2254,3042,190
Mirassol,17003,417,9321,7299,777,24,6448,9302,1338,332,14930,2473,17
Mirassolândia,1157,254,775,578,58,0,463,793,132,22,1050,361,0
Mococa,18820,1482,10902,8044,1263,92,7923,9915,1786,677,16170,3953,178
MogidasCruzes,107831,8555,50433,51597,13104,1251,35301,54628,16520,9937,76089,39975,322
MogiGuaçu,39804,1974,19916,19303,2480,80,14587,21895,4067,1230,34657,7087,34
MojiMirim,25440,1582,14661,10919,1404,38,10252,13752,2335,684,22409,4514,99
Mombuca,769,172,422,416,96,6,272,473,148,48,586,346,9
Monções,650,100,516,226,8,0,359,356,29,6,594,150,6
Mongaguá,14516,42,7302,5645,1499,111,5197,6287,1860,1213,10026,4509,22
MonteAlegredoSul,1381,960,1306,944,88,3,977,1124,186,54,1259,1076,5
MonteAlto,14293,642,8414,5778,724,19,5892,7548,1127,368,12620,2277,38
MonteAprazível,6615,650,4424,2526,292,23,2871,3669,599,127,5648,1584,33
MonteAzulPaulista,5653,368,3478,2209,328,5,2267,3048,542,164,4834,1153,34
MonteCastelo,1118,275,841,517,35,0,591,705,72,24,1019,367,7
MonteMor,13590,860,5964,7009,1406,70,3539,7583,2387,941,7330,7073,48
MonteiroLobato,554,781,665,537,129,5,551,556,153,74,408,919,8
MorroAgudo,8415,383,4023,3791,970,13,2662,4324,1368,444,6512,2264,22
Morungaba,3024,497,1529,1652,315,25,1077,1734,510,200,2268,1237,16
Motuca,979,377,665,633,58,0,461,752,109,33,891,448,16
MurutingadoSul,922,517,912,487,39,2,714,610,80,35,916,488,35
Nantes,752,94,403,402,39,2,299,442,75,30,646,200,0
Narandiba,972,365,619,652,60,6,483,686,146,22,821,481,36
NatividadedaSerra,1011,1395,1390,861,148,7,1074,1014,224,94,927,1433,47
NazaréPaulista,4394,796,2350,2396,408,36,1724,2424,702,340,1559,3496,136
NevesPaulista,2682,278,1793,1098,68,0,1296,1409,203,53,2478,454,28
Nhandeara,3049,633,2477,1129,77,0,1603,1835,204,40,2826,844,12
Nipoã,1232,157,736,558,83,12,276,857,228,28,983,404,2
NovaAliança,1656,329,1162,766,53,4,742,1089,125,29,1527,456,1
NovaCampina,1603,806,832,1257,321,0,645,1234,341,189,941,1424,44
NovaCanaãPaulista,311,431,496,238,9,0,198,503,38,4,292,441,10
NovaCastilho,261,119,236,127,17,0,165,184,26,4,233,143,5
NovaEuropa,2671,192,1325,1338,186,14,800,1609,336,117,2255,608,0
NovaGranada,5776,456,3395,2555,282,0,2395,3153,570,114,4951,1281,0
NovaGuataporanga,659,101,454,281,24,1,388,325,37,11,606,152,3
NovaIndependência,778,174,461,450,41,0,313,506,95,38,624,311,17
NovaLuzitânia,1002,114,586,468,61,0,440,541,102,33,880,236,0
NovaOdessa,15588,224,7657,7039,1081,35,5227,8439,1619,528,13045,2756,11
Novais,1220,131,502,639,198,13,271,685,296,100,827,519,6
NovoHorizonte,11386,850,7079,4595,513,49,5248,5669,1007,311,10054,2120,61
Nuporanga,1966,202,1291,793,84,0,903,1031,199,34,1745,420,3
Ocauçu,1094,272,727,573,66,0,590,631,106,40,970,383,12
Óleo,595,316,586,285,39,0,433,394,69,14,480,421,10
Olímpia,15103,883,9023,6196,734,33,6437,7667,1365,517,12527,3426,33
OndaVerde,945,251,630,514,49,3,450,614,112,20,851,327,18
Oriente,1797,130,1010,821,91,5,732,1007,147,41,1553,374,0
Orindiúva,1632,150,852,861,70,0,653,921,188,20,1430,346,6
Orlândia,11647,316,6085,5144,671,64,4186,6031,1365,382,9918,2038,7
Osasco,201937,0,75050,96729,27238,2920,53558,95765,32970,19644,138348,62997,593
OscarBressane,720,154,569,295,10,0,429,414,28,4,685,178,11
OsvaldoCruz,9403,624,6438,3284,295,9,4843,4448,569,167,8675,1322,30
Ourinhos,32043,766,17721,13348,1663,77,12293,16411,3246,859,27872,4860,77
OuroVerde,2378,196,1384,1087,103,0,723,1518,282,51,1489,1077,8
Ouroeste,2529,250,1640,1065,70,5,1166,1453,141,18,2326,433,20
Pacaembu,3269,378,2294,1237,112,4,1287,2051,254,56,2688,953,6
Palestina,3166,594,2316,1331,108,5,1804,1610,243,103,2422,1304,35
PalmaresPaulista,3091,86,1227,1530,385,35,793,1628,470,286,2333,840,4
Palmeirad'Oeste,2533,762,2181,1027,87,0,1800,1355,108,32,2361,912,22
Palmital,6594,580,4412,2467,273,22,3138,3391,552,93,5929,1213,32
Panorama,4492,128,2304,2008,288,20,1356,2565,494,205,3620,989,11
ParaguaçuPaulista,12104,908,6857,5458,688,9,4967,6421,1298,325,10429,2539,44
Paraibuna,1628,3752,2549,2331,448,53,1927,2483,649,321,1965,3374,41
Paraíso,1678,220,1074,755,65,3,706,1017,130,44,1487,398,14
Paranapanema,4513,1003,2481,2594,408,32,1483,3105,703,224,3421,2009,85
Paranapuã,1154,141,729,530,36,0,464,746,70,14,1047,245,2
Parapuã,3029,625,2160,1313,174,7,1564,1725,256,108,2740,909,5
Pardinho,1376,332,861,716,127,5,675,787,193,53,1046,640,22
Pariquera-Açu,3950,1615,2496,2562,455,53,2037,2461,751,316,3066,2294,205
Parisi,589,122,417,284,10,0,338,322,44,7,537,170,3
PatrocínioPaulista,3183,760,1961,1704,254,25,1515,1941,368,119,2747,1167,30
Paulicéia,1625,299,865,920,140,0,709,930,224,61,666,1249,10
Paulínia,24280,24,12041,10160,2023,80,7895,12417,2794,1199,19144,5120,40
Paulistânia,380,182,276,256,30,0,195,310,51,7,298,250,14
PaulodeFaria,2601,277,1709,1053,112,4,1344,1236,234,63,2308,548,22
Pederneiras,11414,867,5760,5371,1085,65,3715,6721,1258,587,9651,2481,149
PedraBela,471,1360,852,858,117,3,503,1008,233,87,336,1486,9
Pedranópolis,560,324,535,325,24,0,431,409,38,6,515,364,4
Pedregulho,3577,1227,2417,2038,339,10,1953,2196,500,155,3295,1478,32
Pedreira,12672,32,5655,5998,983,69,4205,6312,1610,578,10053,2651,0
PedrinhasPaulista,772,129,508,365,23,5,347,508,34,12,693,205,3
PedrodeToledo,2234,993,1575,1349,276,27,1142,1334,436,315,1523,1666,38
Penápolis,18105,816,11186,6941,767,27,7428,9606,1454,434,16261,2593,68
PereiraBarreto,7508,527,4566,3209,244,17,3528,3815,558,135,6748,1266,21
Pereiras,1606,779,1240,986,155,3,932,1085,275,93,1424,933,28
Peruíbe,19060,232,10070,7215,1869,138,7789,7167,2982,1355,11906,7367,19
Piacatu,1472,158,845,708,69,7,637,826,125,41,1301,328,0
Piedade,7136,8269,6417,7535,1331,123,4871,7382,2276,877,4532,10611,263
PilardoSul,6117,1669,3294,3769,682,42,2559,3780,1108,338,4672,3068,47
Pindamonhangaba,41421,1564,20290,19238,3190,266,12969,22611,5376,2029,33721,9231,33
Pindorama,4571,243,2668,1924,206,17,1868,2381,466,100,3914,887,13
Pinhalzinho,2106,2113,2222,1730,253,15,1350,2279,467,122,1677,2514,28
Piquerobi,911,291,673,472,58,0,538,559,80,25,702,485,14
Piquete,4133,280,2387,1850,144,32,1476,2335,478,124,2836,1572,5
Piracaia,7825,0,3276,3625,833,92,2605,3696,1046,478,4340,3413,72
Piracicaba,110452,2272,58639,45340,8087,658,39992,55420,12137,5175,92709,19991,24
Piraju,8427,871,5262,3558,468,11,3784,4477,778,258,7399,1856,43
Pirajuí,6059,485,3889,2344,297,14,2664,3216,542,122,5213,1322,10
Pirangi,3045,342,1965,1298,124,0,1352,1700,271,64,2711,672,5
PiraporadoBomJesus,4389,0,1285,1955,1036,113,957,1768,951,712,2028,2344,17
Pirapozinho,7369,363,3996,3382,344,10,2689,4131,721,191,6231,1494,7
Pirassununga,20769,1825,13605,7691,1233,65,8480,11476,1980,658,18721,3761,113
Piratininga,3209,475,2139,1361,175,9,1484,1842,283,75,2648,1001,35
Pitangueiras,10260,375,4556,4945,1040,94,3223,5289,1449,674,8126,2482,28
Planalto,1220,198,706,614,98,0,421,799,161,37,1029,387,2
Platina,824,219,526,461,56,0,413,472,139,19,676,358,9
Poá,30076,470,10401,15280,4471,395,6917,14657,5687,3286,20858,9665,23
Poloni,1636,177,1175,560,77,0,518,1088,177,30,1418,369,27
Pompéia,5944,418,3759,2405,198,0,2597,3087,601,77,5225,1112,25
Pongaí,1023,182,748,428,25,4,434,678,73,20,926,279,0
Pontal,11468,216,4095,5694,1758,137,3005,5342,2148,1189,8161,3523,0
Pontalinda,1088,226,742,528,41,3,584,625,90,16,998,313,3
PontesGestal,722,123,488,340,18,0,379,413,38,15,686,159,0
Populina,1219,285,940,518,42,4,691,711,71,31,1149,344,12
Porangaba,1356,1442,1521,1067,204,6,1203,1189,279,128,1339,1430,29
PortoFeliz,12310,2250,6754,6523,1226,58,4745,7605,1608,603,10196,4322,42
PortoFerreira,15580,292,8086,6719,982,85,4531,8773,1783,785,12924,2938,10
Potim,4092,543,1654,2297,647,38,987,2201,884,564,3046,1589,0
Potirendaba,4477,507,2997,1820,162,6,1520,2871,481,112,3909,1065,10
Pracinha,455,55,296,200,14,0,201,237,60,13,365,145,0
Pradópolis,4717,376,2290,2276,483,44,1518,2620,698,257,3842,1186,65
PraiaGrande,83541,0,39097,35552,8166,727,25917,36823,13501,7300,59697,23844,0
Pratânia,1043,331,592,640,136,6,447,680,164,83,891,463,20
PresidenteAlves,1140,206,749,530,65,3,400,788,135,23,995,339,12
PresidenteBernardes,3569,965,2757,1653,124,0,1901,2301,248,85,3054,1398,82
PresidenteEpitácio,12290,863,7075,5263,803,11,5124,6543,1074,411,9765,3298,89
PresidentePrudente,66828,972,42009,23594,2129,67,28609,33344,4468,1378,59949,7809,42
PresidenteVenceslau,11807,574,7432,4510,425,13,5584,5941,703,154,10916,1398,67
Promissão,9375,1576,5666,4685,574,28,4075,5524,991,362,8063,2754,135
Quadra,283,750,503,456,74,0,347,515,111,60,233,797,3
Quatá,3761,248,2161,1708,135,4,1573,2043,346,47,3388,594,27
Queiroz,747,131,381,437,57,4,335,416,91,36,644,226,8
Queluz,2553,448,1291,1388,311,11,945,1469,397,189,1564,1415,22
Quintana,1791,156,1042,821,82,3,812,982,130,23,1623,320,5
Rafard,2260,264,1152,1142,214,16,816,1288,292,128,1889,630,5
Rancharia,8504,904,5121,3747,489,51,3706,4591,844,268,7460,1906,43
RedençãodaSerra,704,560,662,523,72,7,490,589,128,57,359,858,47
RegenteFeijó,5483,452,3262,2422,239,12,2440,2873,490,133,4831,1077,28
Reginópolis,1470,287,1135,526,83,13,881,700,120,56,1292,448,17
Registro,14687,1794,7582,7030,1736,133,5481,7488,2343,1168,10639,5667,175
Restinga,1425,401,729,905,176,15,497,961,254,113,1153,658,15
Ribeira,392,661,559,390,104,0,460,422,134,37,203,830,21
RibeirãoBonito,3467,296,1834,1690,207,32,1308,1781,507,167,2813,909,41
RibeirãoBranco,2736,2575,2065,2562,644,41,1687,2518,849,257,2005,3079,227
RibeirãoCorrente,1021,279,589,636,73,2,396,685,183,36,808,479,13
RibeirãodoSul,1046,363,749,576,81,3,472,777,123,36,803,592,13
RibeirãodosÍndios,632,115,500,237,10,0,360,350,28,9,584,157,6
RibeirãoGrande,692,1546,977,1114,131,15,687,1186,290,75,797,1417,24
RibeirãoPires,33819,0,14555,15782,3245,236,9338,17322,4866,2292,22694,11058,67
RibeirãoPreto,194888,388,114568,70188,9813,706,81417,90656,17254,5948,169081,26155,40
Rifaina,1023,129,677,432,38,5,534,503,91,24,854,298,0
Rincão,2544,560,1474,1353,260,17,1074,1455,417,159,2124,981,0
Rinópolis,2852,417,1893,1222,145,10,1425,1527,243,73,2538,719,12
RioClaro,58442,1285,32480,23421,3620,206,22392,28783,6103,2449,50152,9533,41
RiodasPedras,8415,275,3712,4265,669,45,2510,4583,1186,411,6721,1968,0
RioGrandedaSerra,13185,0,4612,6649,1745,179,2891,6499,2460,1336,7048,6090,47
Riolândia,2630,307,1598,1133,198,8,1258,1266,315,98,2223,696,17
Riversul,1488,556,1114,781,144,5,883,893,181,87,1201,822,21
Rosana,5058,1078,3393,2525,203,15,2477,3129,447,82,4578,1419,139
Roseira,2703,140,1216,1335,282,11,877,1383,385,198,2038,795,10
Rubiácea,498,368,461,370,36,0,315,452,79,20,581,281,3
Rubinéia,824,169,709,257,27,0,473,446,55,18,626,364,3
Sabino,1518,218,1009,654,67,6,659,883,147,47,1303,420,13
Sagres,582,195,417,340,20,0,342,353,78,5,547,229,1
Sales,1647,174,1077,677,64,3,873,789,123,35,1426,383,11
SalesOliveira,2946,288,1791,1283,157,4,1112,1696,353,73,2565,635,34
Salesópolis,2960,1714,1931,2167,544,32,1436,2111,789,338,2118,2534,22
Salmourão,1390,157,807,656,82,2,515,875,138,20,1211,331,5
Saltinho,1846,317,1210,875,75,3,635,1268,206,53,1626,537,0
Salto,31627,228,14021,14515,3077,242,9681,15849,4566,1758,24579,7251,25
SaltodePirapora,9059,2436,4626,5584,1232,54,3217,5717,1828,732,7201,4266,28
SaltoGrande,2608,268,1504,1241,131,0,812,1636,358,71,917,1923,37
Sandovalina,779,333,505,542,65,0,370,583,133,25,624,445,43
SantaAdélia,4390,213,2477,1935,185,6,1505,2510,456,132,3733,837,33
SantaAlbertina,1714,294,1285,669,54,0,930,974,92,12,1580,420,9
SantaBárbarad'Oeste,54488,410,24629,26232,3830,208,16741,29291,6504,2362,45327,9547,24
SantaBranca,3695,547,1922,1842,437,41,1384,1891,688,278,2333,1866,42
SantaClarad'Oeste,524,168,439,235,18,0,272,378,37,5,490,195,7
SantaCruzdaConceição,913,388,789,465,47,0,477,709,106,10,870,427,4
SantaCruzdaEsperança,402,195,309,241,46,0,254,263,58,22,331,258,8
SantaCruzdasPalmeiras,8841,266,3976,3983,1106,42,2802,4529,1234,542,7073,1999,35
SantaCruzdoRioPardo,12786,1195,7821,5441,633,86,5595,7015,901,470,11180,2719,82
SantaErnestina,1538,117,747,800,101,7,497,873,225,61,1261,386,8
SantaFédoSul,9608,383,6374,3461,153,4,3457,5782,649,102,8771,1220,0
SantaGertrudes,6611,39,2566,3451,586,47,1740,3589,968,352,5239,1411,0
SantaIsabel,11990,3272,5396,7545,2196,125,3895,6960,2829,1578,7080,8086,95
SantaLúcia,2284,127,944,1200,264,3,694,1170,412,136,1783,612,16
SantaMariadaSerra,1467,215,716,820,144,3,565,780,234,102,1210,472,0
SantaMercedes,814,122,515,380,39,3,401,419,94,21,579,354,4
SantaRitadoPassaQuatro,7991,778,5755,2744,241,29,3144,4853,559,213,7239,1502,28
SantaRitad'Oeste,637,274,643,257,11,0,306,552,46,8,565,330,16
SantaRosadeViterbo,7072,330,4062,3049,280,11,2972,3730,557,143,6458,944,0
SantaSalete,296,209,369,133,3,0,262,226,13,4,287,213,5
SantanadaPontePensa,420,175,434,157,4,0,291,295,6,3,426,165,4
SantanadeParnaíba,31619,0,14837,11940,4381,461,9327,14030,4664,3598,16826,14755,38
SantoAnastácio,6234,463,3871,2550,266,10,2785,3204,552,156,5471,1200,26
SantoAndré,216255,0,110606,85657,17973,2019,75206,103610,24814,12625,172873,43369,13
SantoAntôniodaAlegria,1553,509,1249,718,89,7,947,901,162,52,1360,697,5
SantoAntôniodePosse,5755,543,2634,2939,716,9,1929,3039,973,357,3937,2347,14
SantoAntôniodoAracanguá,1894,532,1254,1091,78,3,862,1330,198,36,1643,768,14
SantoAntôniodoJardim,1118,702,955,755,104,6,487,1098,196,40,948,813,59
SantoAntôniodoPinhal,1193,800,928,915,147,3,737,945,217,94,713,1273,7
SantoExpedito,857,109,580,353,31,2,467,394,90,15,631,328,7
SantópolisdoAguapeí,1303,44,669,614,59,5,484,692,132,40,1113,234,0
Santos,144488,99,91602,45574,6627,784,61030,64713,13523,5322,122124,22449,14
SãoBentodoSapucaí,1640,1697,1890,1333,114,0,1473,1540,268,56,1680,1638,19
SãoBernardodoCampo,235619,3665,112183,103447,22056,1598,74390,118955,31510,14428,179564,59720,0
SãoCaetanodoSul,50489,0,31432,16500,2387,170,20474,23364,4790,1861,43794,6694,0
SãoCarlos,68927,2686,41086,26814,3591,122,23582,38559,7241,2231,60078,11489,46
SãoFrancisco,756,208,642,311,11,0,433,474,46,10,741,216,7
SãoJoãodaBoaVista,26574,1010,15668,10198,1672,47,11045,13367,2393,779,23045,4491,48
SãoJoãodasDuasPontes,662,190,469,365,18,0,371,443,29,10,675,174,3
SãoJoãodeIracema,485,106,381,193,11,6,261,274,37,19,425,164,2
SãoJoãodoPaud'Alho,599,130,473,242,14,0,312,383,27,7,572,151,6
SãoJoaquimdaBarra,14150,272,7693,5984,721,24,5015,7390,1462,555,12062,2340,20
SãoJosédaBelaVista,2195,311,1168,1073,251,14,790,1244,318,153,1706,765,36
SãoJosédoBarreiro,938,366,720,483,97,4,549,523,175,57,693,570,41
SãoJosédoRioPardo,14204,1675,8368,6692,796,23,6199,7924,1399,356,12488,3291,99
SãoJosédoRioPreto,129947,7180,85183,46701,5043,200,59759,63870,10217,3282,108558,28536,32
SãoJosédosCampos,185635,3815,91372,82687,14502,889,62621,95899,22512,8418,149490,39874,85
SãoLourençodaSerra,3900,391,1818,2017,408,47,1320,1996,606,369,1742,2532,16
SãoLuísdoParaitinga,2035,1430,1970,1332,145,17,1467,1579,281,138,1532,1894,39
SãoManuel,11226,281,5909,4835,720,44,4111,5799,1213,385,9414,2093,0
SãoMiguelArcanjo,6470,3002,4152,4535,748,37,3110,4873,1106,383,4833,4480,159
SãoPaulo,3545601,27908,1701248,1448905,385485,37872,1205408,1588719,497555,281827,2653463,918997,1050
SãoPedro,8727,1658,5931,3689,700,65,4449,4433,1046,457,7420,2914,51
SãoPedrodoTurvo,1664,672,1243,974,115,4,1013,1103,174,46,1496,802,38
SãoRoque,21771,1957,10821,10391,2394,123,7427,11511,3354,1436,12827,10782,119
SãoSebastião,23333,272,10155,10700,2604,147,7405,10536,3978,1686,11992,11614,0
SãoSebastiãodaGrama,2552,1144,2010,1485,200,0,1554,1815,260,68,2288,1371,38
SãoSimão,4018,402,2395,1801,212,12,1713,2153,427,127,3507,907,7
SãoVicente,101487,184,42748,47330,10745,848,28063,46585,17346,9678,69536,32113,22
Sarapuí,2065,770,1322,1288,215,11,960,1321,417,137,1339,1464,32
Sarutaiá,946,199,632,461,51,0,478,550,91,26,846,297,2
SebastianópolisdoSul,825,230,691,346,19,0,494,504,51,6,773,281,1
SerraAzul,2327,249,1147,1155,248,27,816,1235,407,117,1722,826,28
SerraNegra,7687,992,4951,3353,358,17,3356,4266,800,257,5418,3178,83
Serrana,11027,119,4440,5569,1065,72,2700,6157,1696,594,8726,2420,0
Sertãozinho,32696,367,15726,14297,2830,210,10789,16738,4016,1520,27102,5961,0
SeteBarras,2164,1803,1717,1780,434,36,1289,1748,681,249,1725,2191,51
Severínia,4436,215,2085,2228,323,15,1388,2361,653,249,3537,1109,5
Silveiras,848,940,892,747,129,21,735,790,191,72,752,1015,21
Socorro,8379,3764,6561,5016,550,16,5300,5551,1023,269,6168,5869,105
Sorocaba,176967,1767,86221,76433,15067,1013,57297,88006,24099,9331,142375,36336,22
SudMennucci,2089,332,1471,899,47,4,1043,1157,179,42,1874,547,0
Sumaré,72674,841,31391,35883,5896,344,21450,38472,9810,3783,56959,16505,51
Suzanápolis,733,362,589,456,50,0,411,560,101,23,672,387,36
Suzano,72151,2596,25229,36869,11598,1051,17041,35510,13825,8370,46129,28470,148
Tabapuã,3499,251,1991,1608,145,6,1338,2035,285,91,3109,635,6
Tabatinga,3967,634,2313,2001,286,0,1536,2391,538,136,3463,1126,12
TaboãodaSerra,72316,0,26393,35920,9034,969,18489,34015,12260,7552,49994,22322,0
Taciba,1525,275,960,761,77,3,766,880,123,32,1337,450,13
Taguaí,2265,873,1338,1517,272,11,940,1648,401,149,2249,876,14
Taiaçu,1653,173,961,736,121,9,532,970,241,83,1338,473,15
Taiúva,1635,139,1068,622,82,2,568,1007,159,40,1449,319,6
Tambaú,6127,722,3715,2770,351,13,2020,3793,860,176,5201,1612,37
Tanabi,7300,805,4892,2949,254,10,2610,4757,571,166,5895,2172,38
Tapiraí,1625,722,949,1115,260,24,713,1091,388,156,1088,1202,58
Tapiratiba,3189,627,1804,1800,205,6,1374,1984,367,90,2838,959,19
Taquaral,811,37,384,423,41,0,279,454,97,19,692,155,1
Taquaritinga,16562,855,9557,6860,928,73,6682,8470,1635,631,14208,3135,75
Taquarituba,6060,807,3292,3049,525,0,2156,3786,712,213,5118,1695,54
Taquarivaí,798,624,480,771,149,22,358,719,243,102,588,808,26
Tarabai,1883,140,1037,897,84,6,738,1028,206,50,1628,380,15
Tarumã,3747,227,1903,1884,176,11,1397,2042,433,102,3212,747,15
Tatuí,30919,1588,15148,13999,3207,152,10132,15932,4500,1943,23987,8459,60
Taubaté,81963,1793,42193,35531,5699,333,29079,41752,9410,3515,67724,16024,8
Tejupá,893,496,664,567,152,7,503,627,196,63,666,659,64
TeodoroSampaio,5400,1226,3223,3115,277,11,2462,3389,621,154,4599,1898,128
TerraRoxa,2568,130,1425,1170,103,0,871,1537,231,60,2045,653,0
Tietê,10528,958,5983,4661,787,55,4308,5421,1288,469,8765,2697,24
Timburi,662,215,497,337,37,7,423,381,49,23,563,309,5
TorredePedra,500,283,423,314,43,2,372,288,86,36,414,364,5
Torrinha,2518,423,1562,1253,122,4,1185,1374,278,105,2137,793,11
Trabiju,424,40,182,223,55,4,127,234,70,33,327,131,6
Tremembé,9904,751,5022,4445,1121,67,3383,5241,1303,728,7518,3103,34
TrêsFronteiras,1570,292,1187,638,37,0,515,1174,146,26,1399,439,24
Tuiuti,988,907,992,776,120,7,744,885,200,67,552,1329,14
Tupã,20032,788,12610,7417,782,10,9057,9753,1587,422,17824,2933,62
TupiPaulista,3943,626,3167,1316,86,0,2121,2175,215,59,3668,875,27
Turiúba,580,123,481,212,10,0,272,379,38,14,538,159,7
Turmalina,518,194,485,217,10,0,379,311,11,11,494,214,5
Ubarana,1451,151,734,761,107,0,516,836,196,53,1178,421,4
Ubatuba,24493,610,11471,10959,2544,129,8200,10967,4171,1766,10638,14441,24
Ubirajara,1070,373,812,543,84,4,517,749,140,37,875,548,20
Uchoa,2896,217,1842,1119,143,9,1349,1444,239,80,2558,549,6
UniãoPaulista,397,112,271,215,24,0,204,261,27,17,367,136,6
Urânia,2570,452,1897,1086,38,1,1423,1418,160,22,2398,606,19
Uru,377,61,276,153,9,1,118,289,26,4,351,82,4
Urupês,3798,445,2634,1464,134,11,1867,1960,360,56,3379,860,4
ValentimGentil,3234,315,1883,1521,124,22,1466,1747,289,47,2881,658,10
Valinhos,32117,1518,18916,12795,1791,133,12808,16623,3125,1080,26535,7078,22
Valparaíso,5830,334,3126,2512,484,42,2112,3078,737,236,4830,1305,29
Vargem,1342,1437,1255,1258,263,4,934,1403,326,117,827,1950,3
VargemGrandedoSul,11775,585,6517,5006,784,53,4213,6311,1382,454,9911,2303,145
VargemGrandePaulista,12536,0,5109,5549,1693,185,3461,5925,1986,1164,7184,5333,19
VárzeaPaulista,31593,0,9957,17181,4079,376,7168,16237,5461,2727,20933,10659,0
VeraCruz,2883,414,1866,1291,133,7,1182,1668,355,93,2405,852,40
Vinhedo,18814,537,10244,7504,1515,88,6696,9649,2055,951,15106,4199,44
Viradouro,5235,151,2735,2250,380,20,1675,2843,624,244,4311,1070,5
VistaAlegredoAlto,1925,161,1039,873,164,10,598,1147,234,107,1593,489,3
VitóriaBrasil,462,96,318,220,19,0,276,256,17,9,428,130,0
Votorantim,30816,1141,12773,15174,3733,277,8831,15950,4844,2333,23526,8408,24
Votuporanga,28368,793,18354,10043,704,60,12741,14208,1813,399,25968,3174,19
Zacarias,638,161,516,263,15,5,346,397,47,9,587,206,6
